security_feature_name,default_value
event_type,NOT_PRESENT
encoding_internet,False
encoding_common_persistence,NOT_PRESENT
encoding_special_persistence,NOT_PRESENT
encoding_unistall,False
encoding_notify,False
encoding_root,NOT_PRESENT
encoding_blob_type,NOT_PRESENT
encoding_length_command_line,0
encoding_binary_name,NOT_PRESENT
encoding_number_of_cmdline_args,0
encoding_dropped_binary,False
encoding_process_path,NOT_PRESENT
encoding_powershell_cmdline_args__no_profile,False
encoding_powershell_cmdline_args__encoded_command,False
encoding_powershell_cmdline_args__window_style,False
encoding_powershell_cmdline_args__execution_policy,False
encoding_powershell_cmdline_args__non_interactive,False
encoding_powershell_cmdline_args__command,False
encoding_powershell_cmdline_args__file,False
encoding_powershell_cmdline_args__no_logo,False
encoding_powershell_obfuscation_chars__ampersand,0
encoding_powershell_obfuscation_chars__hyphen,0
encoding_powershell_obfuscation_chars__percentage,0
encoding_powershell_obfuscation_chars__double_quotes,0
encoding_powershell_obfuscation_chars__single_quotes,0
encoding_powershell_obfuscation_chars__pound,0
encoding_powershell_obfuscation_chars__circumflex,0
encoding_powershell_obfuscation_chars__dollar,0
encoding_powershell_start_scripts,0
encoding_powershell_functions__download_string,False
encoding_powershell_functions__download_file,False
encoding_powershell_functions__start_process,False
encoding_powershell_functions__shell_execute,False
encoding_powershell_functions__http,False
encoding_powershell_functions__web_request,False
encoding_powershell_functions__base_64,False
encoding_cmdline_embedding_0,0.0
encoding_cmdline_embedding_1,0.0
encoding_cmdline_embedding_2,0.0
encoding_cmdline_embedding_3,0.0
encoding_cmdline_embedding_4,0.0
encoding_cmdline_embedding_5,0.0
encoding_cmdline_embedding_6,0.0
encoding_cmdline_embedding_7,0.0
encoding_cmdline_embedding_8,0.0
encoding_cmdline_embedding_9,0.0
encoding_cmdline_embedding_10,0.0
encoding_cmdline_embedding_11,0.0
encoding_cmdline_embedding_12,0.0
encoding_cmdline_embedding_13,0.0
encoding_cmdline_embedding_14,0.0
encoding_cmdline_embedding_15,0.0
encoding_file_path,NOT_PRESENT
encoding_open_options,NOT_PRESENT
encoding_open_access_flags,NOT_PRESENT
encoding_create_file_disposition,NOT_PRESENT
encoding_ip_source_internal,False
encoding_ip_destination_internal,False
encoding_service_port,NOT_PRESENT
encoding_size_connection,0
encoding_protocol,NOT_PRESENT
