sourceId,sourceType,destinationId,destinationType,action,processName,timestamp,pid0,pid1
graph_head,process,firefox.exe,process,start,graph_head,-1,-1,181.0
places.sqlite,file,firefox.exe,process,read,firefox.exe,1523458608036000000,181,
cookies.sqlite,file,firefox.exe,process,read,firefox.exe,1523458609607000000,181,
cookies.sqlite-shm,file,firefox.exe,process,read,firefox.exe,1523458609645000000,181,
cookies.sqlite-wal,file,firefox.exe,process,read,firefox.exe,1523458609645000001,181,
webappsstore.sqlite-shm,file,firefox.exe,process,read,firefox.exe,1523458610559000000,181,
allow-flashallow-digest256.sbstore,file,firefox.exe,process,read,firefox.exe,1523458611426000000,181,
base-track-digest256.sbstore,file,firefox.exe,process,read,firefox.exe,1523458611432000000,181,
block-flash-digest256.pset,file,firefox.exe,process,read,firefox.exe,1523458611434000000,181,
except-flashallow-digest256.sbstore,file,firefox.exe,process,read,firefox.exe,1523458611446000000,181,
except-flashinfobar-digest256.pset,file,firefox.exe,process,read,firefox.exe,1523458611448000000,181,
except-flashinfobar-digest256.sbstore,file,firefox.exe,process,read,firefox.exe,1523458611449000000,181,
except-flashsubdoc-digest256.sbstore,file,firefox.exe,process,read,firefox.exe,1523458611451000000,181,
mozplugin-block-digest256.pset,file,firefox.exe,process,read,firefox.exe,1523458611452000000,181,
mozplugin-block-digest256.sbstore,file,firefox.exe,process,read,firefox.exe,1523458611453000000,181,
mozstd-trackwhite-digest256.sbstore,file,firefox.exe,process,read,firefox.exe,1523458611468000000,181,
test-block-simple.pset,file,firefox.exe,process,read,firefox.exe,1523458611474000000,181,
test-flash-simple.sbstore,file,firefox.exe,process,read,firefox.exe,1523458611479000000,181,
test-flashallow-simple.pset,file,firefox.exe,process,read,firefox.exe,1523458611480000000,181,
test-flashsubdoc-simple.sbstore,file,firefox.exe,process,read,firefox.exe,1523458611510000000,181,
test-harmful-simple.pset,file,firefox.exe,process,read,firefox.exe,1523458611512000000,181,
test-malware-simple.pset,file,firefox.exe,process,read,firefox.exe,1523458611515000000,181,
test-malware-simple.sbstore,file,firefox.exe,process,read,firefox.exe,1523458611517000000,181,
test-track-simple.pset,file,firefox.exe,process,read,firefox.exe,1523458611522000000,181,
test-trackwhite-simple.pset,file,firefox.exe,process,read,firefox.exe,1523458611524000000,181,
testexcept-flashsubdoc-simple.pset,file,firefox.exe,process,read,firefox.exe,1523458611540000000,181,
testexcept-flashsubdoc-simple.sbstore,file,firefox.exe,process,read,firefox.exe,1523458611541000000,181,
