sourceId,sourceType,destinationId,destinationType,action,processName,timestamp,pid0,pid1
graph_head,process,-,process,start,graph_head,-1,-1,55.0
-,process,-,process,start,-,1557235234534000000,55,42.0
wmiprov.dll,file,-,process,read,-,1557236219459000000,42,
wmiprov.dll,file,-,process,read,-,1557236219460000000,42,
wbemprox.dll,file,-,process,read,-,1557236219462000000,42,
wbemprox.dll,file,-,process,read,-,1557236219462000001,42,
kernelbase.dll,file,-,process,read,-,1557236219465000000,42,
kernelbase.dll.mui,file,-,process,read,-,1557236219466000000,42,
acpi.sys.mui,file,-,process,read,-,1557236219466000001,42,
acpi.sys,file,-,process,read,-,1557236219466000002,42,
mssmbios.sys,file,-,process,read,-,1557236219467000000,42,
ndis.sys,file,-,process,read,-,1557236219467000001,42,
ndis.sys.mui,file,-,process,read,-,1557236219467000002,42,
intelppm.sys,file,-,process,read,-,1557236219468000000,42,
mssmbios.sys.mui,file,-,process,read,-,1557236219468000001,42,
intelppm.sys.mui,file,-,process,read,-,1557236219468000002,42,
monitor.sys,file,-,process,read,-,1557236219469000000,42,
monitor.sys,file,-,process,read,-,1557236219469000001,42,
monitor.sys,file,-,process,read,-,1557236219469000002,42,
esscli.dll,file,-,process,read,-,1557237183635000000,42,
esscli.dll,file,-,process,read,-,1557237183636000000,42,
-,process,-,process,start,-,1557238169449000000,42,7.0
vmbusr.sys,file,-,process,read,-,1557239133261000000,7,
vmbusr.sys.dll,file,-,process,read,-,1557239133261000001,7,
perfc009.dat,file,-,process,read,-,1557239133279000000,7,
system32,file,-,process,read,-,1557239133279000001,7,
perfh009.dat,file,-,process,read,-,1557239133286000000,7,
synth3dvsc.sys,file,-,process,read,-,1557239133286000001,7,
synth3dvsc.sys.mui,file,-,process,read,-,1557239133291000000,7,
netfxperf.dll,file,-,process,read,-,1557239133396000000,7,
.config,file,-,process,read,-,1557239133397000000,7,
netfxperf.dll,file,-,process,read,-,1557239133397000001,7,
clr.dll,file,-,process,read,-,1557239133398000000,7,
v4.0.*****,file,-,process,read,-,1557239133402000000,7,
wmiprvse.exe.config,file,-,process,read,-,1557239133402000001,7,
wmiprvse.exe,file,-,process,read,-,1557239133402000002,7,
corperfmonext.dll,file,-,process,read,-,1557239133425000000,7,
corperfmonext.dll,file,-,process,read,-,1557239133425000001,7,
msvcr120_clr0400.dll,file,-,process,read,-,1557239133426000000,7,
wtsapi32.dll,file,-,process,read,-,1557239133426000001,7,
msvcr120_clr0400.dll,file,-,process,read,-,1557239133426000002,7,
wtsapi32.dll,file,-,process,read,-,1557239133426000003,7,
msvcr120_clr0400.dll,file,-,process,read,-,1557239133426000004,7,
wtsapi32.dll,file,-,process,read,-,1557239133427000000,7,
bitsperf.dll,file,-,process,read,-,1557239133468000000,7,
bitsperf.dll,file,-,process,read,-,1557239133469000000,7,
esentprf.dll,file,-,process,read,-,1557239133469000001,7,
esentprf.dll,file,-,process,read,-,1557239133470000000,7,
secur32.dll,file,-,process,read,-,1557239133485000000,7,
secur32.dll,file,-,process,read,-,1557239133485000001,7,
msdtcuiu.dll,file,-,process,read,-,1557239133485000002,7,
msdtcuiu.dll,file,-,process,read,-,1557239133486000000,7,
ole32.dll,file,-,process,read,-,1557239133487000000,7,
shcore.dll,file,-,process,read,-,1557239133487000001,7,
profapi.dll,file,-,process,read,-,1557239133487000002,7,
windows.storage.dll,file,-,process,read,-,1557239133487000003,7,
powrprof.dll,file,-,process,read,-,1557239133487000004,7,
shell32.dll,file,-,process,read,-,1557239133487000005,7,
dnsapi.dll,file,-,process,read,-,1557239133488000000,7,
nsi.dll,file,-,process,read,-,1557239133488000001,7,
dnsapi.dll,file,-,process,read,-,1557239133488000002,7,
atl.dll,file,-,process,read,-,1557239133489000000,7,
msdtcprx.dll,file,-,process,read,-,1557239133489000001,7,
msdtcprx.dll,file,-,process,read,-,1557239133489000002,7,
atl.dll,file,-,process,read,-,1557239133489000003,7,
clusapi.dll,file,-,process,read,-,1557239133490000000,7,
mtxclu.dll,file,-,process,read,-,1557239133490000001,7,
mtxclu.dll,file,-,process,read,-,1557239133490000002,7,
clusapi.dll,file,-,process,read,-,1557239133491000000,7,
resutils.dll,file,-,process,read,-,1557239133491000001,7,
ktmw32.dll,file,-,process,read,-,1557239133492000000,7,
resutils.dll,file,-,process,read,-,1557239133492000001,7,
ktmw32.dll,file,-,process,read,-,1557239133492000002,7,
cryptsp.dll,file,-,process,read,-,1557239133493000000,7,
cryptsp.dll,file,-,process,read,-,1557239133493000001,7,
iphlpapi.dll,file,-,process,read,-,1557239133494000000,7,
iphlpapi.dll,file,-,process,read,-,1557239133494000001,7,
kernelbase.dll,file,-,process,read,-,1557239133495000000,7,
oleaut32.dll,file,-,process,read,-,1557239133495000001,7,
wkscli.dll,file,-,process,read,-,1557239133498000000,7,
wkscli.dll,file,-,process,read,-,1557239133499000000,7,
cscapi.dll,file,-,process,read,-,1557239133501000000,7,
cscapi.dll,file,-,process,read,-,1557239133501000001,7,
cscapi.dll,file,-,process,read,-,1557239133501000002,7,
netutils.dll,file,-,process,read,-,1557239133502000000,7,
netutils.dll,file,-,process,read,-,1557239133502000001,7,
msscntrs.dll,file,-,process,read,-,1557239133503000000,7,
msscntrs.dll,file,-,process,read,-,1557239133504000000,7,
wmiclnt.dll,file,-,process,read,-,1557239133506000000,7,
perfdisk.dll,file,-,process,read,-,1557239133506000001,7,
perfdisk.dll,file,-,process,read,-,1557239133506000002,7,
wmiclnt.dll,file,-,process,read,-,1557239133507000000,7,
file_root,file,-,process,read,-,1557239133508000000,7,
file_root,file,-,process,read,-,1557239133510000000,7,
file_root,file,-,process,read,-,1557239133510000001,7,
perfnet.dll,file,-,process,read,-,1557239133511000000,7,
perfnet.dll,file,-,process,read,-,1557239133511000001,7,
file_root,file,-,process,read,-,1557239133515000000,7,
;lanmanredirector,file,-,process,read,-,1557239133515000001,7,
browcli.dll,file,-,process,read,-,1557239133516000000,7,
browcli.dll,file,-,process,read,-,1557239133516000001,7,
browcli.dll,file,-,process,read,-,1557239133516000002,7,
perfos.dll,file,-,process,read,-,1557239133517000000,7,
perfos.dll,file,-,process,read,-,1557239133518000000,7,
perfproc.dll,file,-,process,read,-,1557239133520000000,7,
perfproc.dll,file,-,process,read,-,1557239133520000001,7,
sysmain.dll,file,-,process,read,-,1557239133541000000,7,
sysmain.dll,file,-,process,read,-,1557239133541000001,7,
rasctrs.dll,file,-,process,read,-,1557239133542000000,7,
rasctrs.dll,file,-,process,read,-,1557239133542000001,7,
winspool.drv,file,-,process,read,-,1557239133543000000,7,
winspool.drv,file,-,process,read,-,1557239133544000000,7,
tapiperf.dll,file,-,process,read,-,1557239133560000000,7,
perfctrs.dll,file,-,process,read,-,1557239133561000000,7,
tapiperf.dll,file,-,process,read,-,1557239133561000001,7,
perfctrs.dll,file,-,process,read,-,1557239133562000000,7,
perfts.dll,file,-,process,read,-,1557239133571000000,7,
winsta.dll,file,-,process,read,-,1557239133571000001,7,
perfts.dll,file,-,process,read,-,1557239133571000002,7,
winsta.dll,file,-,process,read,-,1557239133572000000,7,
usbperf.dll,file,-,process,read,-,1557239133582000000,7,
usbperf.dll,file,-,process,read,-,1557239133582000001,7,
wmiaprpl.dll,file,-,process,read,-,1557239133583000000,7,
wmiaprpl.dll,file,-,process,read,-,1557239133583000001,7,
tquery.dll,file,-,process,read,-,1557239134409000000,7,
tquery.dll,file,-,process,read,-,1557239134409000001,7,
cryptdll.dll,file,-,process,read,-,1557239134409000002,7,
cryptdll.dll,file,-,process,read,-,1557239134410000000,7,
wmiprov.dll,file,-,process,read,-,1557240119427000000,7,
wmiprov.dll,file,-,process,read,-,1557240119427000001,7,
esscli.dll,file,-,process,read,-,1557240119428000000,7,
esscli.dll,file,-,process,read,-,1557240119428000001,7,
wbemprox.dll,file,-,process,read,-,1557240119429000000,7,
wbemprox.dll,file,-,process,read,-,1557240119429000001,7,
kernelbase.dll.mui,file,-,process,read,-,1557240119432000000,7,
acpi.sys.mui,file,-,process,read,-,1557240119432000001,7,
