sourceId,sourceType,destinationId,destinationType,action,processName,timestamp,pid0,pid1
graph_head,process,runtimebroker.exe,process,start,graph_head,-1,-1,963.0
runtimebroker.exe,process,firefox.exe,process,start,runtimebroker.exe,1557423721726000000,963,18.0
ntdll.dll,file,firefox.exe,process,read,firefox.exe,1557423721826000000,18,
kernel32.dll,file,firefox.exe,process,read,firefox.exe,1557423721827000000,18,
firefox,file,firefox.exe,process,read,firefox.exe,1557423721827000001,18,
kernelbase.dll,file,firefox.exe,process,read,firefox.exe,1557423721827000002,18,
advapi32.dll,file,firefox.exe,process,read,firefox.exe,1557423721829000000,18,
sechost.dll,file,firefox.exe,process,read,firefox.exe,1557423721829000001,18,
rpcrt4.dll,file,firefox.exe,process,read,firefox.exe,1557423721829000002,18,
msvcrt.dll,file,firefox.exe,process,read,firefox.exe,1557423721829000003,18,
ucrtbase.dll,file,firefox.exe,process,read,firefox.exe,1557423721829000004,18,
mozglue.dll,file,firefox.exe,process,read,firefox.exe,1557423721830000000,18,
msvcp140.dll,file,firefox.exe,process,read,firefox.exe,1557423721831000000,18,
mozglue.dll,file,firefox.exe,process,read,firefox.exe,1557423721831000001,18,
msvcp140.dll,file,firefox.exe,process,read,firefox.exe,1557423721831000002,18,
msvcp140.dll,file,firefox.exe,process,read,firefox.exe,1557423721832000000,18,
vcruntime140.dll,file,firefox.exe,process,read,firefox.exe,1557423721832000001,18,
vcruntime140.dll,file,firefox.exe,process,read,firefox.exe,1557423721832000002,18,
vcruntime140.dll,file,firefox.exe,process,read,firefox.exe,1557423721832000003,18,
dbghelp.dll,file,firefox.exe,process,read,firefox.exe,1557423721833000000,18,
version.dll,file,firefox.exe,process,read,firefox.exe,1557423721833000001,18,
version.dll,file,firefox.exe,process,read,firefox.exe,1557423721833000002,18,
dbghelp.dll,file,firefox.exe,process,read,firefox.exe,1557423721833000003,18,
dbghelp.dll,file,firefox.exe,process,read,firefox.exe,1557423721833000004,18,
version.dll,file,firefox.exe,process,read,firefox.exe,1557423721834000000,18,
cryptbase.dll,file,firefox.exe,process,read,firefox.exe,1557423721834000001,18,
bcryptprimitives.dll,file,firefox.exe,process,read,firefox.exe,1557423721835000000,18,
cryptbase.dll,file,firefox.exe,process,read,firefox.exe,1557423721835000001,18,
cryptbase.dll,file,firefox.exe,process,read,firefox.exe,1557423721835000002,18,
dependentlibs.list,file,firefox.exe,process,read,firefox.exe,1557423721838000000,18,
nss3.dll,file,firefox.exe,process,read,firefox.exe,1557423721838000001,18,
winmm.dll,file,firefox.exe,process,read,firefox.exe,1557423721840000000,18,
nss3.dll,file,firefox.exe,process,read,firefox.exe,1557423721840000001,18,
winmm.dll,file,firefox.exe,process,read,firefox.exe,1557423721840000002,18,
wsock32.dll,file,firefox.exe,process,read,firefox.exe,1557423721841000000,18,
wsock32.dll,file,firefox.exe,process,read,firefox.exe,1557423721841000001,18,
wsock32.dll,file,firefox.exe,process,read,firefox.exe,1557423721841000002,18,
ws2_32.dll,file,firefox.exe,process,read,firefox.exe,1557423721841000003,18,
winmm.dll,file,firefox.exe,process,read,firefox.exe,1557423721841000004,18,
winmmbase.dll,file,firefox.exe,process,read,firefox.exe,1557423721842000000,18,
winmmbase.dll,file,firefox.exe,process,read,firefox.exe,1557423721842000001,18,
cfgmgr32.dll,file,firefox.exe,process,read,firefox.exe,1557423721842000002,18,
winmmbase.dll,file,firefox.exe,process,read,firefox.exe,1557423721842000003,18,
ws2_32.dll,file,firefox.exe,process,read,firefox.exe,1557423721843000000,18,
lgpllibs.dll,file,firefox.exe,process,read,firefox.exe,1557423721844000000,18,
xul.dll,file,firefox.exe,process,read,firefox.exe,1557423721844000001,18,
lgpllibs.dll,file,firefox.exe,process,read,firefox.exe,1557423721844000002,18,
win32u.dll,file,firefox.exe,process,read,firefox.exe,1557423721898000000,18,
gdi32full.dll,file,firefox.exe,process,read,firefox.exe,1557423721898000001,18,
xul.dll,file,firefox.exe,process,read,firefox.exe,1557423721898000002,18,
user32.dll,file,firefox.exe,process,read,firefox.exe,1557423721898000003,18,
gdi32.dll,file,firefox.exe,process,read,firefox.exe,1557423721898000004,18,
shcore.dll,file,firefox.exe,process,read,firefox.exe,1557423721899000000,18,
msvcp_win.dll,file,firefox.exe,process,read,firefox.exe,1557423721899000001,18,
shell32.dll,file,firefox.exe,process,read,firefox.exe,1557423721899000002,18,
windows.storage.dll,file,firefox.exe,process,read,firefox.exe,1557423721899000003,18,
combase.dll,file,firefox.exe,process,read,firefox.exe,1557423721899000004,18,
profapi.dll,file,firefox.exe,process,read,firefox.exe,1557423721900000000,18,
kernel.appcore.dll,file,firefox.exe,process,read,firefox.exe,1557423721900000001,18,
powrprof.dll,file,firefox.exe,process,read,firefox.exe,1557423721900000002,18,
ole32.dll,file,firefox.exe,process,read,firefox.exe,1557423721900000003,18,
shlwapi.dll,file,firefox.exe,process,read,firefox.exe,1557423721900000004,18,
wintrust.dll,file,firefox.exe,process,read,firefox.exe,1557423721901000000,18,
crypt32.dll,file,firefox.exe,process,read,firefox.exe,1557423721901000001,18,
setupapi.dll,file,firefox.exe,process,read,firefox.exe,1557423721901000002,18,
msasn1.dll,file,firefox.exe,process,read,firefox.exe,1557423721901000003,18,
imm32.dll,file,firefox.exe,process,read,firefox.exe,1557423721901000004,18,
oleaut32.dll,file,firefox.exe,process,read,firefox.exe,1557423721902000000,18,
usp10.dll,file,firefox.exe,process,read,firefox.exe,1557423721903000000,18,
