sourceId,sourceType,destinationId,destinationType,action,processName,timestamp,pid0,pid1
graph_head,process,-,process,start,graph_head,-1,-1,513.0
file_root,file,-,process,read,-,1557235096170000000,513,
windows,file,-,process,read,-,1557235096171000000,513,
system32,file,-,process,read,-,1557235096171000001,513,
sorting,file,-,process,read,-,1557235100419000000,513,
activationstore.dat.log1,file,-,process,read,-,1557236152832000000,513,
settings.dat,file,-,process,read,-,1557236152877000000,513,
en-us,file,-,process,read,-,1557238063208000000,513,
rpcrt4.dll,file,-,process,read,-,1557238281684000000,513,
locale.nls,file,-,process,read,-,1557238281684000001,513,
msvcrt.dll,file,-,process,read,-,1557238281684000002,513,
mozglue.dll,file,-,process,read,-,1557238281684000003,513,
version.dll,file,-,process,read,-,1557238281684000004,513,
nss3.dll,file,-,process,read,-,1557238281685000000,513,
winmmbase.dll,file,-,process,read,-,1557238281685000001,513,
lgpllibs.dll,file,-,process,read,-,1557238281685000002,513,
imm32.dll,file,-,process,read,-,1557238281686000000,513,
wintrust.dll,file,-,process,read,-,1557238281686000001,513,
combase.dll,file,-,process,read,-,1557238281686000002,513,
powrprof.dll,file,-,process,read,-,1557238281686000003,513,
shlwapi.dll,file,-,process,read,-,1557238281686000004,513,
shell32.dll,file,-,process,read,-,1557238281686000005,513,
crypt32.dll,file,-,process,read,-,1557238281686000006,513,
iphlpapi.dll,file,-,process,read,-,1557238281687000000,513,
uxtheme.dll,file,-,process,read,-,1557238281687000001,513,
usp10.dll,file,-,process,read,-,1557238281687000002,513,
r***********d.clb,file,-,process,read,-,1557238281688000000,513,
cldapi.dll,file,-,process,read,-,1557238281688000001,513,
desktop.ini,file,-,process,read,-,1557238281688000002,513,
cversions.1.db,file,-,process,read,-,1557238281688000003,513,
aepic.dll,file,-,process,read,-,1557238281688000004,513,
cryptsp.dll,file,-,process,read,-,1557238281688000005,513,
msptls.dll,file,-,process,read,-,1557239390913000000,513,
d3d10_1core.dll,file,-,process,read,-,1557239390913000001,513,
winnsi.dll,file,-,process,read,-,1557239390916000000,513,
winnlsres.dll.mui,file,-,process,read,-,1557239390916000001,513,
webio.dll,file,-,process,read,-,1557239390916000002,513,
mskeyprotect.dll,file,-,process,read,-,1557239390917000000,513,
ntasn1.dll,file,-,process,read,-,1557239390917000001,513,
config15--lcid=1033&syslcid=1033&uilcid=1033&build=15.0.4569&crev=10,file,-,process,read,-,1557239390917000002,513,
gb.xsl,file,-,process,read,-,1557239390918000000,513,
gosttitle.xsl,file,-,process,read,-,1557239390918000001,513,
gostname.xsl,file,-,process,read,-,1557239390918000002,513,
harvardanglia2008officeonline.xsl,file,-,process,read,-,1557239390918000003,513,
